"","Karlsruher SC","Eintracht Frankfurt","Hamburger SV","Hertha BSC","SC Freiburg","FC St. Pauli","FC Bayern München","VfL Borussia Mönchengladbach","SpVgg Greuther Fürth","DSC Arminia Bielefeld","Werder Bremen","RasenBallsport Leipzig","Hannover 96","MSV Duisburg","VfB Stuttgart","SC Preußen Münster","Fortuna 95 Düsseldorf","FC Schalke 04","TSV 1860 München","1. FC Kaiserslautern","1. FC Köln","1. FC Union Berlin","FC Hansa Rostock","Eintracht Braunschweig","BSG Chemie Leipzig","SV Waldhof Mannheim","BV 09 Borussia Dortmund","1. FC Magdeburg","SV Darmstadt 98","FC Carl Zeiss Jena","VfL Bochum","SG Dynamo Dresden","Rot-Weiß Oberhausen","1. FC Nürnberg","Hallescher FC","Rot-Weiss Essen","1. FSV Mainz 05","FC Erzgebirge Aue","Wuppertaler SV","TSG 1899 Hoffenheim","KSV Hessen Kassel","FC Energie Cottbus","VfB Oldenburg","1. FC Heidenheim","Kickers Offenbach","Fortuna Köln","SC Paderborn 07","FC Augsburg","1. FC Lokomotive Leipzig","Alemannia Aachen","FC Rot-Weiß Erfurt","Bayer 04 Leverkusen","VfR Aalen","VfL Osnabrück","VfL Wolfsburg","1. FC Saarbrücken","Stuttgarter Kickers","Holstein Kiel","Chemnitzer FC","BFC Dynamo","SV Meppen","FSV Zwickau","Werder Bremen II","SV Wehen 1926 Wiesbaden","SV Babelsberg 03","Würzburger Kickers","SSV Jahn 2000 Regensburg","SpVgg Unterhaching","VfB Lübeck","Bonner SC","FC Viktoria Köln","SV 1916 Sandhausen","Altona 93","FC Ingolstadt 04","FSV Frankfurt","KFC Uerdingen 05","Sportfreunde Lotte","1. FC Schweinfurt 05","SG Sonnenhof Großaspach"
"Karlsruher SC",0,0,0,538,72,5,8,2,1,0,3,0,0,0,1,0,1,1,3,3,1,4,1,1,0,1,7,0,1,0,1,1,0,3,0,0,1,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eintracht Frankfurt",1,0,30,13,56,40,13,26,0,2,47,5,2,411,8,1,7,18,8,7,21,42,2,2,189,266,72,1,40,0,10,3,0,36,0,2,27,3,0,3,5,0,0,0,17,0,1,2,3,0,0,2,0,0,1,0,1,1,0,2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,110,0,1,1,0
"Hamburger SV",2,29,0,5,31,58,20,21,1,365,26,4,522,3,8,0,6,22,5,1,50,1,9,4,0,1,329,2,5,0,5,4,0,5,0,0,4,0,0,3,1,1,0,0,1,2,1,3,0,0,0,3,0,0,3,0,1,54,0,0,0,0,0,0,0,0,2,0,13,0,0,1,5,0,1,0,0,0,1
"Hertha BSC",564,5,6,0,14,11,17,13,1,1,15,4,4,0,2,0,0,9,0,2,8,37,2,1,0,0,34,1,2,0,0,0,0,4,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC Freiburg",62,9,0,2,0,165,28,12,1,0,33,2,1,2,11,1,1,12,1,8,15,16,0,1,1,0,374,0,1,0,1,0,0,5,0,0,30,1,0,19,0,0,0,2,0,0,0,14,1,8,0,3,0,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FC St. Pauli",3,2,6,1,96,0,98,4,6,0,194,3,0,6,2,0,24,4,29,3,122,150,7,0,3,0,14,0,27,5,7,1,0,3,1,0,7,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,179,0,1,0,1,0,0,2,35,0,1,0,0,0,0
"FC Bayern München",15,34,64,38,153,229,0,77,6,3,40,36,12,6,53,3,2,57,34,3,43,7,1,2,0,2,42,0,4,35,878,6,0,91,0,0,21,0,1,43,1,0,0,1,3,0,3,211,0,2,3,8,0,0,7,2,2,7,0,1,1,0,0,0,1,1,10,64,1,0,0,0,0,15,0,1,0,0,0
"VfL Borussia Mönchengladbach",2,5,5,6,111,67,26,0,0,3,97,1,9,24,8,0,28,20,4,6,13,30,0,3,0,2,57,1,3,30,5,1,1,17,0,0,185,2,1,4,0,0,0,0,2,3,1,8,0,2,0,5,0,4,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SpVgg Greuther Fürth",0,3,0,0,1,22,19,0,0,0,1,0,0,3,0,0,1,3,1,5,0,3,0,0,1,0,4,0,0,0,2,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"DSC Arminia Bielefeld",0,1,241,3,3,16,5,2,0,0,3,1,154,0,2,3,6,5,2,2,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,1,0,0,0,1,0,0
"Werder Bremen",3,14,19,16,273,950,10,74,1,6,0,6,33,0,12,3,10,41,15,348,46,17,9,24,4,2,207,1,7,1,9,1,1,26,0,524,41,1,0,1,0,2,8,0,0,0,3,17,0,1,2,9,0,8,6,0,0,23,1,0,9,0,5,0,19,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"RasenBallsport Leipzig",1,1,2,7,8,5,21,0,0,1,4,0,1,0,1,0,0,5,0,1,0,2,1,0,6,0,6,0,0,0,0,3,0,1,0,0,1,1,0,42,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hannover 96",1,5,483,8,14,20,11,10,0,334,54,5,1,1,3,0,3,11,0,0,0,3,0,5,0,0,14,0,1,0,3,1,0,5,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MSV Duisburg",0,182,2,1,4,50,2,18,2,0,5,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,9,0,0,0,2,1,0,1,0,1,6,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VfB Stuttgart",10,33,14,8,173,34,28,20,2,8,49,7,2,2,0,0,5,9,13,302,31,19,4,0,0,3,89,0,0,0,10,2,0,34,0,0,9,3,0,14,0,180,0,5,0,0,0,26,0,1,2,20,2,0,2,0,23,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,8
"SC Preußen Münster",0,0,0,9,1,3,1,1,0,1,0,0,0,0,1,0,12,3,2,0,1,0,2,0,0,0,5,0,1,0,18,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Fortuna 95 Düsseldorf",0,1,2,0,7,144,4,30,0,4,6,0,0,0,1,8,0,4,4,2,5,4,0,2,0,0,17,0,1,0,3,2,0,3,0,1,0,125,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,10,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FC Schalke 04",2,3,11,5,25,40,13,29,3,0,28,1,3,6,6,3,8,0,4,2,16,43,0,1,3,1,32,5,0,0,13,1,5,1807,1,1,11,18,16,1,1,1,1,0,0,0,2,4,0,1,0,2,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"TSV 1860 München",5,2,3,0,5,51,0,2,0,0,5,3,0,0,4,0,0,6,0,337,3,8,0,3,2,0,85,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"1. FC Kaiserslautern",4,2,0,0,4,14,2,3,0,0,201,0,2,0,153,0,1,3,540,0,0,1,0,0,0,2,4,0,1,0,6,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1. FC Köln",1,5,4,7,34,585,16,15,0,3,27,2,1,0,7,0,5,17,2,4,0,4,1,2,0,1,606,1,12,0,5,2,1,2,1,1,19,0,0,0,0,0,0,0,0,18,1,1,0,5,0,7,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0
"1. FC Union Berlin",0,2,0,11,4,141,3,16,0,0,1,0,0,0,0,0,0,13,1,0,0,0,3,1,17,0,5,1,0,1,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC Hansa Rostock",3,1,12,5,0,10,6,1,1,0,7,2,0,0,0,0,1,2,2,0,0,36,0,0,0,0,3,7,0,2,3,15,0,0,0,0,0,5,0,0,1,4,0,0,0,2,0,0,2,0,7,0,0,0,0,0,32,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eintracht Braunschweig",0,2,7,1,5,15,1,1,0,0,13,0,5,0,0,0,1,0,8,4,3,4,0,0,1,139,5,276,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"BSG Chemie Leipzig",0,84,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SV Waldhof Mannheim",1,55,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BV 09 Borussia Dortmund",4,28,187,39,581,125,19,132,1,4,194,23,6,7,16,5,22,56,65,6,900,12,2,0,1,0,1,3,1,1,31,9,0,17,1,156,130,2,0,5,1,0,0,0,0,1,8,15,0,5,1,10,1,1,2,1,1,9,0,0,0,3,3,0,2,0,0,1,1,0,1,1,1,2,0,1,0,0,1
"1. FC Magdeburg",0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,3,2,115,3,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SV Darmstadt 98",0,5,3,1,4,80,11,1,0,0,13,0,0,0,0,0,0,3,1,3,42,5,0,0,0,0,4,0,0,0,1,0,0,2,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
"FC Carl Zeiss Jena",0,0,1,0,1,7,53,34,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"VfL Bochum",1,0,1,2,9,15,167,1,0,1,4,0,0,3,0,0,0,1,0,0,2,3,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SG Dynamo Dresden",0,2,1,0,2,11,7,1,0,0,1,3,0,0,1,0,0,0,0,0,1,13,11,0,2,0,9,5,0,2,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56
"Rot-Weiß Oberhausen",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. FC Nürnberg",0,4,4,3,7,23,7,3,9,0,10,0,0,0,3,0,1,922,11,3,2,1,0,1,0,0,9,0,1,0,1,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,1,1,1,0,0,1,0
