club_name,city,log_market_value,liga_numeric,club_age,stadium_capacity,members,WKR_NAME,gdp,unemployment_rate,region,perc_afd_2017,east_west_binary,log_members,love_out_hhi,hate_out_hhi,love_in_hhi,hate_in_hhi,liga_factor
1. FC Heidenheim,Heidenheim,2.615934912194404,4,11,15000,12600,Aalen – Heidenheim,51800,3.525,Baden-Württemberg,12.9342040278769,0,9.441452092939569,0.11111111111111104,0.4102079395085066,0.6022830979945784,0.6784362057994022,Bundesliga
1. FC Kaiserslautern,Kaiserslautern,2.6602595372658615,3,118,49327,37200,Kaiserslautern,36900,4.375,Rheinland-Pfalz,15.0904473394527,0,10.524064040261237,0.3627143904282517,0.17016005764695624,0.1833562064958176,0.21954323418874394,2nd
1. FC Köln,Köln,4.661550519424199,4,70,50000,150000,Köln II,41700,4.425,Nordrhein-Westfalen,5.63508046227254,0,11.918390573078392,0.32956489416593626,0.3483083668196729,0.07022197145253185,0.16373663594868876,Bundesliga
1. FC Lokomotive Leipzig,Leipzig,0.7323678937132266,1,125,15600,3119,Leipzig II,32000,5.45,Sachsen,17.7097266963742,1,8.045267716607803,0.4023323615160352,0.39541270406346957,0.2967505385824471,0.5038635771420913,Regional
1. FC Magdeburg,Magdeburg,1.8164520818184267,3,53,30098,15225,Magdeburg,27300,9.1,Sachsen-Anhalt,17.9257598206063,1,9.630694092578098,0.623769452709743,0.3144201183431954,0.2566742916729606,0.5401732687200048,2nd
1. FC Nürnberg,Nürnberg,2.9831534913471307,3,118,50000,37167,Nürnberg-Nord,44100,2.8,Bayern,10.943661971831,0,10.523176549783848,0.7647556433326024,0.3993408054259038,0.2831370603815549,0.3952000267369828,2nd
1. FC Saarbrücken,Saarbrücken,1.1474024528375417,2,115,16003,12000,Saarbrücken,35500,6.5,Saarland,10.5337496997358,0,9.392661928770137,0.12764003673094582,0.5240484429065746,0.23071619886208314,0.23922395317109638,3rd
1. FC Union Berlin,Berlin,3.091042453358316,4,52,22012,70111,Berlin-Treptow-Köpenick,39300,9.45,Berlin,18.8122484559601,1,11.157834979399821,0.2966881889377165,0.4552958800644792,0.04389019796922619,0.5563607802979084,Bundesliga
1. FSV Mainz 05,Mainz,4.3425058765115985,4,113,33305,27000,Mainz,36900,4.375,Rheinland-Pfalz,9.1901289419037,0,10.203592144986466,0.12525405742919893,0.34642024794406595,0.13580413879003037,0.18942781906368053,Bundesliga
Alemannia Aachen,Aachen,0.6151856390902335,2,118,31791,10760,Aachen I,41700,4.425,Nordrhein-Westfalen,7.02529699192455,0,9.283590833715776,0.06103131816124112,0.21077328890739983,0.5637443388111346,0.19940888288658995,3rd
BFC Dynamo,Berlin,0.3148107398400336,1,52,4500,2148,Berlin-Lichtenberg,39300,9.45,Berlin,18.5346192601123,1,7.672292455628756,0.15999999999999998,0.7346938775510203,0.119710267240202,0.32054667731631664,Regional
BSG Chemie Leipzig,Leipzig,-0.005012541823544286,1,21,4999,2500,Leipzig II,32000,5.45,Sachsen,17.7097266963742,1,7.824046010856292,0.410488888888889,0.4353317836936977,0.09865929131396892,0.9658725184859006,Regional
BV 09 Borussia Dortmund,Dortmund,6.037751581059295,4,109,81365,230000,Dortmund I,33900,5.675,Nordrhein-Westfalen,11.0012030477209,0,12.345834587905333,0.1451024811770298,0.45331406463114315,0.035555394050215884,0.16005638115628945,Bundesliga
Bayer 04 Leverkusen,Leverkusen,5.590613776550563,4,114,30210,NA,Leverkusen – Köln IV,41700,4.425,Nordrhein-Westfalen,10.906429651314,0,8.517193191416238,0.38508314484290473,0.5163142685905587,0.25782337777639336,0.22030562675674797,Bundesliga
Chemnitzer FC,Chemnitz,0.6043159668533296,1,52,15000,2529,Chemnitz,27800,7.7,Sachsen,26.383122702416,1,7.835579246669965,0.133656509695291,0.5415879017013233,0.40157039478341805,0.5808427545022908,Regional
DSC Arminia Bielefeld,Bielefeld,2.601207105484161,3,113,27332,27000,Bielefeld – Gütersloh II,37000,5.53333333333333,Nordrhein-Westfalen,10.1382772319916,0,10.203592144986466,0.3301083714682509,0.320643867017948,0.21541500023699878,0.2890885849739913,2nd
Eintracht Braunschweig,Braunschweig,2.856470206220483,3,123,23325,7557,Braunschweig,46500,5.775,Niedersachsen,9.25443625974228,0,8.93022956502072,0.35158817810476173,0.6585343915343915,0.31678662243267686,0.31659083745455896,2nd
Eintracht Frankfurt,Frankfurt,4.5081084731449605,4,119,58000,155000,Frankfurt am Main I,50700,4.45,Hessen,10.2186757148634,0,11.951180395901384,0.10693214396797711,0.2845873283726277,0.14621091956375473,0.1825654467441601,Bundesliga
FC Augsburg,Augsburg,4.335982696172475,4,111,30660,28017,Augsburg-Stadt,39000,3.66666666666667,Bayern,15.2087272457643,0,10.240566747777828,0.11172390155365747,0.2221854043392506,0.3387549350982362,0.6698501424208068,Bundesliga
FC Bayern München,München,6.452443198479391,4,118,75000,400000,München-Nord,57900,2.8,Bayern,9.96186363728082,0,12.89921982609012,0.1483983424213402,0.2978351720334781,0.0755146848828148,0.04318643250082272,Bundesliga
FC Carl Zeiss Jena,Jena,0.6678293725756554,1,115,15100,5615,Jena – Sömmerda – Weimarer Land I,28400,6.725,Thüringen,21.3446739570676,1,8.633196867172543,0.15995673428105855,0.6729623100814238,0.24748463045290012,0.4588246849984164,Regional
FC Energie Cottbus,Cottbus,0.9745596399981308,2,52,22528,5056,Cottbus – Spree-Neiße,28300,6.15,Brandenburg,28.5850395498169,1,8.528330935826693,0.2554799697656841,0.1929050978607192,0.32306645993960426,0.5032867429354017,3rd
FC Erzgebirge Aue,Aue,2.4379897300002487,2,72,15500,9428,Erzgebirgskreis I,27800,7.7,Sachsen,30.4599395592246,1,9.151439264056021,0.11610980016643309,0.2691235261707989,0.1836653897982785,0.25391356214161764,3rd
FC Hansa Rostock,Rostock,1.6544112780768316,2,53,29000,29182,Rostock – Landkreis Rostock II,27400,8.56666666666667,Mecklenburg-Vorpommern,17.2986219514242,1,10.281307359823968,0.06594174371632963,0.28692738388042743,0.18088535318258467,0.21523182845729655,3rd
FC Ingolstadt 04,Ingolstadt,3.231989464013584,2,14,15200,2300,Ingolstadt,57900,2.8,Bayern,16.5709277706432,0,7.7406644019172415,0.12727272727272726,0.19791666666666666,0.7053835804723559,0.4821710435222006,3rd
FC Schalke 04,Gelsenkirchen,5.270689199430563,3,114,62271,194000,Gelsenkirchen,32700,4.675,Nordrhein-Westfalen,18.6494466660467,0,12.175613438045465,0.6739346701112526,0.5657588835685486,0.12872991724416719,0.12230381479898825,2nd
FC St. Pauli,Hamburg,2.8390784635086144,4,108,29546,52357,Hamburg-Mitte,64000,5.475,Hamburg,8.91435144222262,0,10.865840922736847,0.08887839822863926,0.3302544783345435,0.02434594415697376,0.20194186380285992,Bundesliga
FC Viktoria Köln,Köln,1.2809338454620642,2,8,8343,623,Köln I,41700,4.425,Nordrhein-Westfalen,10.1309711815904,0,6.434546518787453,0,0.25,0.21265149067298558,0.5659901145438001,3rd
FSV Frankfurt,Frankfurt,0.5653138090500605,1,119,12542,2461,Frankfurt am Main II,50700,4.45,Hessen,8.68201546182016,0,7.8083230503910555,0.04000000000000017,0.14666666666666664,0.3705094937870168,0.6642158337222479,Regional
FSV Zwickau,Zwickau,0.5481214085096876,1,106,10134,2883,Zwickau,27800,7.7,Sachsen,27.6173524298369,1,7.9665866976384025,0.5340236686390532,0.5877777777777778,0.6946570132151402,0.5877179971141308,Regional
Fortuna 95 Düsseldorf,Düsseldorf,2.8581928595319295,3,123,54600,36000,Düsseldorf I,40400,5.175,Nordrhein-Westfalen,7.88399055448041,0,10.491274217438248,0.2118250000000003,0.35251429861266176,0.10367234001517621,0.13184665831452502,2nd
Fortuna Köln,Köln,0.7884573603642703,1,70,11748,1200,Köln II,41700,4.425,Nordrhein-Westfalen,5.63508046227254,0,7.090076835776092,0.1494949494949495,0.49035812672176304,0.19046439439521437,0.8773990771123111,Regional
Hallescher FC,Halle,1.0818051703517284,1,52,15057,3374,Halle,27300,9.1,Sachsen-Anhalt,19.7952336780782,1,8.123854263105914,0.30048882298017243,0.6638762150366994,0.4260826575192062,0.37162726750732844,Regional
Hamburger SV,Hamburg,4.3694478524670215,4,131,57000,126995,Hamburg-Mitte,64000,5.475,Hamburg,8.91435144222262,0,11.751902994586967,0.17755159473826546,0.3976196675206059,0.11487877750714046,0.15166208423646138,Bundesliga
Hannover 96,Hannover,4.136765278106052,3,122,49000,23000,Stadt Hannover I,37400,5.475,Niedersachsen,10.0961971591307,0,10.043249494911286,0.3209245669524691,0.5850398414875781,0.26245700784777504,0.4594212209915246,2nd
Hertha BSC,Berlin,4.633271616098966,3,126,74475,59217,Berlin-Mitte,39300,9.45,Berlin,9.11465980780331,0,10.988963941811097,0.5237675824691579,0.2655141832757797,0.36588129194562397,0.17513777735479835,2nd
Holstein Kiel,Kiel,2.391511302188447,3,118,15034,11565,Kiel,32100,4.475,Schleswig-Holstein,7.61238527990804,0,9.355738574665539,0.21843937575029998,0.2764514233830048,0.34625867127353566,0.8491063982310957,2nd
KFC Uerdingen 05,Uerdingen,1.1410330045520618,1,113,10900,1044,Krefeld I – Neuss II,40400,5.175,Nordrhein-Westfalen,8.69553170659623,0,6.950814768442584,0.10946196660482371,0.09979806568179407,0.2628623884822426,0.4379605557474613,Regional
KSV Hessen Kassel,Kassel,0.36464311358790924,1,20,18737,1360,Kassel,35900,3.66666666666667,Hessen,11.5799320154009,0,7.215239978730097,0.6202666666666666,0.24462734339277548,0.8494808279182561,0.8465358385319118,Regional
Karlsruher SC,Karlsruhe,1.824549292051046,3,124,32190,20000,Karlsruhe-Stadt,43500,3.85,Baden-Württemberg,11.6899279116503,0,9.903487552536127,0.6456904112597979,0.44029122511489827,0.5369979978169896,0.19607953191895047,2nd
Kickers Offenbach,Offenbach,1.0647107369924282,1,117,20500,2845,Offenbach,50700,4.45,Hessen,12.4621628477213,0,7.953318346560431,0.43699048913043476,0.4421466210825639,0.7399170215609635,0.10198159168631482,Regional
MSV Duisburg,Duisburg,2.3350522831315472,2,116,31418,10463,Duisburg I,40400,5.175,Nordrhein-Westfalen,12.2296154530888,0,9.255600503381046,0.3775956038016302,0.18356660770665706,0.2493990468881267,0.2541759131016273,3rd
RasenBallsport Leipzig,Leipzig,5.702948793907623,4,9,47069,1100,Leipzig I,32000,5.45,Sachsen,22.7887771133393,1,7.003065458786462,0.11527992717341833,0.16777465027793917,0.12279890336850198,0.04883426444706882,Bundesliga
Rot-Weiss Essen,Essen,0.8329091229351039,2,111,20100,13239,Essen II,40400,5.175,Nordrhein-Westfalen,16.2648908430901,0,9.490922297937656,0.43541957310865664,0.4208066605700351,0.1849901705299098,0.1368696015272763,3rd
SC Freiburg,Freiburg,4.338597076746545,4,114,34700,75000,Freiburg,37500,3.45,Baden-Württemberg,8.71645901198912,0,11.225243392518447,0.22175181059174437,0.44121796763511,0.029929583598838072,0.30216313608720435,Bundesliga
SC Paderborn 07,Paderborn,1.682688374173693,3,111,15000,9507,Paderborn – Gütersloh III,37000,5.53333333333333,Nordrhein-Westfalen,11.2537599228038,0,9.15978364835903,0.057697152935248144,0.3766015542953164,0.3826450395883551,0.2888406614175286,2nd
SG Dynamo Dresden,Dresden,2.8419981736119486,3,65,32249,34146,Dresden I,30300,6.825,Sachsen,25.8591749083888,1,10.438400727831178,0.4600751429030891,0.19279335487535734,0.2718939000374907,0.08690540770498481,2nd
SSV Jahn 2000 Regensburg,Regensburg,2.128231705849268,2,111,15210,5000,Regensburg,41900,2.05,Bayern,14.3076495859129,0,8.517193191416238,0.1649519890260631,0.07570207570207571,0.6745702068360727,0.3338449728477818,3rd
SV 1916 Sandhausen,Sandhausen,1.0818051703517284,1,102,15414,950,Rhein-Neckar,43500,3.85,Baden-Württemberg,14.2024566599878,0,6.856461984594587,0.07438016528925621,0.09382924767540156,0.8837840111487433,0.4151856989208345,Regional
SV Babelsberg 03,Potsdam,0.16551443847757333,1,115,10787,1350,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,28300,6.15,Brandenburg,14.6492223578367,1,7.2078598714324755,0.46946040787265414,0.2933163265306124,0.33096187278086303,0.7294039622961956,Regional
SV Darmstadt 98,Darmstadt,2.865053949911875,3,120,17810,15000,Darmstadt,50700,4.45,Hessen,10.5651464964427,0,9.615805480084347,0.20363796679550128,0.37735886081331244,0.08589986981861619,0.29977007491348856,2nd
SV Meppen,Meppen,1.5432981099295553,2,106,13241,2050,Mittelems,34800,4.16666666666667,Niedersachsen,5.57278846217988,0,7.6255950721324535,0.04419342053111379,0.44243767313019394,0.2990158939550253,0.367769100007343,3rd
SV Waldhof Mannheim,Mannheim,1.0986122886681098,2,111,24302,2463,Mannheim,43500,3.85,Baden-Württemberg,14.3732236119804,0,7.809135398120538,0.32505494505494525,0.3398879583521957,0.18615391003134324,0.1405064419900326,3rd
SpVgg Greuther Fürth,Fürth,2.739548868161581,3,115,16626,2628,Fürth,44100,2.8,Bayern,12.4300404459502,0,7.873978379604501,0.10526315789473689,0.6173974687767144,0.17640080432474511,0.540603227678462,2nd
SpVgg Unterhaching,Unterhaching,0.6151856390902335,1,93,15053,1000,München-Land,57900,2.8,Bayern,10.1588543438329,0,6.907755278982137,0.14285714285714285,0.5585789871504159,0.2786000180484146,0.5143430211181845,Regional
Sportfreunde Lotte,Lotte,1.7227665977411035,2,89,10059,1200,Steinfurt III,32700,4.675,Nordrhein-Westfalen,7.43482542369953,0,7.090076835776092,0,3.469446951953614e-17,0.25691496790384993,0.4604258387878952,3rd
Stuttgarter Kickers,Stuttgart,0.9555114450274363,1,119,11408,3572,Stuttgart I,51800,3.525,Baden-Württemberg,8.0320960455974,0,8.18088094199639,0.24253333333333332,0.5553498122106733,0.2584262947672929,0.7051787247922653,Regional
TSG 1899 Hoffenheim,Hoffenheim,5.0323967858777685,4,119,30150,11500,Rhein-Neckar,43500,3.85,Baden-Württemberg,14.2024566599878,0,9.350102314351341,0.13515055914640386,0.15153280336257302,0.44314256327921664,0.3910928005721009,Bundesliga
TSV 1860 München,München,1.075002423028976,2,158,15000,27000,München-Süd,57900,2.8,Bayern,9.53181198700673,0,10.203592144986466,0.35909589737870024,0.6643920760915368,0.1888646071725159,0.27898865219901475,3rd
VfB Lübeck,Lübeck,0.8544153281560676,1,99,10434,1819,Lübeck,32100,4.475,Schleswig-Holstein,9.68017452509827,0,7.506042178518122,0.22314049586776866,0.33989243080152176,0.6628863525611013,0.6893084355390107,Regional
VfB Oldenburg,Oldenburg,0.4252677354043441,1,121,15200,665,Oldenburg – Ammerland,34800,4.16666666666667,Niedersachsen,7.67439963818887,0,6.499787040655854,0,0.38177623990772797,0.42580630323474317,0.5044614896738714,Regional
VfB Stuttgart,Stuttgart,4.37197629882038,4,125,60058,126000,Stuttgart II,51800,3.525,Baden-Württemberg,11.7976461655277,0,11.744037185933616,0.09681619555475832,0.37415326556867706,0.28224924982601873,0.1871340647111741,Bundesliga
VfL Bochum,Bochum,2.7819200496686656,3,69,26000,32000,Bochum I,33900,5.675,Nordrhein-Westfalen,10.8413714067424,0,10.373491181781864,0.5310187913985761,0.27704021527410677,0.20225877673610534,0.5387176980362368,2nd
VfL Borussia Mönchengladbach,Mönchengladbach,5.15010733938285,4,118,54042,106500,Mönchengladbach,40400,5.175,Nordrhein-Westfalen,10.3944719296648,0,11.575900264131617,0.08537115668751269,0.4354272225096521,0.06656641545688409,0.2372211189783394,Bundesliga
VfL Osnabrück,Osnabrück,1.7404661748405046,2,119,15741,8785,Stadt Osnabrück,34800,4.16666666666667,Niedersachsen,6.89311209222042,0,9.080801000621198,0.05468235294117651,0.3732226321090744,0.33142061572328074,0.2317079174730676,3rd
VfL Wolfsburg,Wolfsburg,5.038120751031117,4,73,28917,NA,Helmstedt – Wolfsburg,46500,5.775,Niedersachsen,11.7454858125537,0,8.517193191416238,0.03167192304074232,0.3831033870315576,0.1808390639431936,0.17037549653938358,Bundesliga
VfR Aalen,Aalen,1.5953389880545987,2,97,14500,1100,Aalen – Heidenheim,51800,3.525,Baden-Württemberg,12.9342040278769,0,7.003065458786462,0.32653061224489804,0.64,0.31953572780840717,0.8346974931113871,3rd
Werder Bremen,Bremen,4.310127759130018,4,119,42100,62500,Bremen I,47600,4.35,Bremen,9.34567578664477,0,11.042921835724492,0.15794437261824906,0.5031515266594918,0.06243192445662905,0.502335780801749,Bundesliga
Werder Bremen II,Bremen,2.551786178627545,1,119,42100,62500,Bremen I,47600,4.35,Bremen,9.34567578664477,0,11.042921835724492,0.08854166666666667,0.21874999999999997,0.3803859849845902,0.4395862425823445,Regional
Wuppertaler SV,Wuppertal,0.9082585601768908,1,64,23067,1700,Bremen I,47600,4.35,Bremen,9.34567578664477,0,7.438383530044307,0.24260355029585792,0.41149841557265743,0.32346229295484225,0.1748095967132661,Regional
Würzburger Kickers,Würzburg,0.5481214085096876,1,111,13090,1400,Bremen I,47600,4.35,Bremen,9.34567578664477,0,7.24422751560335,0.3600000000000003,0.528925619834711,0.9600645022541417,0.5550561486973972,Regional
