club,love_out_hhi,hate_out_hhi,love_in_hhi,hate_in_hhi
Karlsruher SC,0.6456904112597979,0.44029122511489827,0.5369979978169896,0.19607953191895047
Eintracht Frankfurt,0.10693214396797711,0.2845873283726277,0.14621091956375473,0.1825654467441601
Hamburger SV,0.17755159473826546,0.3976196675206059,0.11487877750714046,0.15166208423646138
Hertha BSC,0.5237675824691579,0.2655141832757797,0.36588129194562397,0.17513777735479835
SC Freiburg,0.22175181059174437,0.44121796763511,0.029929583598838072,0.30216313608720435
FC St. Pauli,0.08887839822863926,0.3302544783345435,0.02434594415697376,0.20194186380285992
FC Bayern München,0.1483983424213402,0.2978351720334781,0.0755146848828148,0.04318643250082272
VfL Borussia Mönchengladbach,0.08537115668751269,0.4354272225096521,0.06656641545688409,0.2372211189783394
SpVgg Greuther Fürth,0.10526315789473689,0.6173974687767144,0.17640080432474511,0.540603227678462
DSC Arminia Bielefeld,0.3301083714682509,0.320643867017948,0.21541500023699878,0.2890885849739913
Werder Bremen,0.15794437261824906,0.5031515266594918,0.06243192445662905,0.502335780801749
RasenBallsport Leipzig,0.11527992717341833,0.16777465027793917,0.12279890336850198,0.04883426444706882
Hannover 96,0.3209245669524691,0.5850398414875781,0.26245700784777504,0.4594212209915246
MSV Duisburg,0.3775956038016302,0.18356660770665706,0.2493990468881267,0.2541759131016273
VfB Stuttgart,0.09681619555475832,0.37415326556867706,0.28224924982601873,0.1871340647111741
SC Preußen Münster,0.07572879259310672,0.28430776861553747,0.5106373626774393,0.24754366619441873
Fortuna 95 Düsseldorf,0.2118250000000003,0.35251429861266176,0.10367234001517621,0.13184665831452502
FC Schalke 04,0.6739346701112526,0.5657588835685486,0.12872991724416719,0.12230381479898825
TSV 1860 München,0.35909589737870024,0.6643920760915368,0.1888646071725159,0.27898865219901475
1. FC Kaiserslautern,0.3627143904282517,0.17016005764695624,0.1833562064958176,0.21954323418874394
1. FC Köln,0.32956489416593626,0.3483083668196729,0.07022197145253185,0.16373663594868876
1. FC Union Berlin,0.2966881889377165,0.4552958800644792,0.04389019796922619,0.5563607802979084
FC Hansa Rostock,0.06594174371632963,0.28692738388042743,0.18088535318258467,0.21523182845729655
Eintracht Braunschweig,0.35158817810476173,0.6585343915343915,0.31678662243267686,0.31659083745455896
BSG Chemie Leipzig,0.410488888888889,0.4353317836936977,0.09865929131396892,0.9658725184859006
SV Waldhof Mannheim,0.32505494505494525,0.3398879583521957,0.18615391003134324,0.1405064419900326
BV 09 Borussia Dortmund,0.1451024811770298,0.45331406463114315,0.035555394050215884,0.16005638115628945
1. FC Magdeburg,0.623769452709743,0.3144201183431954,0.2566742916729606,0.5401732687200048
SV Darmstadt 98,0.20363796679550128,0.37735886081331244,0.08589986981861619,0.29977007491348856
FC Carl Zeiss Jena,0.15995673428105855,0.6729623100814238,0.24748463045290012,0.4588246849984164
VfL Bochum,0.5310187913985761,0.27704021527410677,0.20225877673610534,0.5387176980362368
SG Dynamo Dresden,0.4600751429030891,0.19279335487535734,0.2718939000374907,0.08690540770498481
Rot-Weiß Oberhausen,0.040000000000000036,0.5434666666666669,0.817045499873799,0.2531811262133335
1. FC Nürnberg,0.7647556433326024,0.3993408054259038,0.2831370603815549,0.3952000267369828
Hallescher FC,0.30048882298017243,0.6638762150366994,0.4260826575192062,0.37162726750732844
Rot-Weiss Essen,0.43541957310865664,0.4208066605700351,0.1849901705299098,0.1368696015272763
1. FSV Mainz 05,0.12525405742919893,0.34642024794406595,0.13580413879003037,0.18942781906368053
FC Erzgebirge Aue,0.11610980016643309,0.2691235261707989,0.1836653897982785,0.25391356214161764
Wuppertaler SV,0.24260355029585792,0.41149841557265743,0.32346229295484225,0.1748095967132661
TSG 1899 Hoffenheim,0.13515055914640386,0.15153280336257302,0.44314256327921664,0.3910928005721009
KSV Hessen Kassel,0.6202666666666666,0.24462734339277548,0.8494808279182561,0.8465358385319118
FC Energie Cottbus,0.2554799697656841,0.1929050978607192,0.32306645993960426,0.5032867429354017
VfB Oldenburg,0,0.38177623990772797,0.42580630323474317,0.5044614896738714
1. FC Heidenheim,0.11111111111111104,0.4102079395085066,0.6022830979945784,0.6784362057994022
Kickers Offenbach,0.43699048913043476,0.4421466210825639,0.7399170215609635,0.10198159168631482
Fortuna Köln,0.1494949494949495,0.49035812672176304,0.19046439439521437,0.8773990771123111
SC Paderborn 07,0.057697152935248144,0.3766015542953164,0.3826450395883551,0.2888406614175286
FC Augsburg,0.11172390155365747,0.2221854043392506,0.3387549350982362,0.6698501424208068
1. FC Lokomotive Leipzig,0.4023323615160352,0.39541270406346957,0.2967505385824471,0.5038635771420913
Alemannia Aachen,0.06103131816124112,0.21077328890739983,0.5637443388111346,0.19940888288658995
FC Rot-Weiß Erfurt,0.35214526432272025,0.8423719271908421,0.45749988012040854,0.9965607046584254
Bayer 04 Leverkusen,0.38508314484290473,0.5163142685905587,0.25782337777639336,0.22030562675674797
VfR Aalen,0.32653061224489804,0.64,0.31953572780840717,0.8346974931113871
VfL Osnabrück,0.05468235294117651,0.3732226321090744,0.33142061572328074,0.2317079174730676
VfL Wolfsburg,0.03167192304074232,0.3831033870315576,0.1808390639431936,0.17037549653938358
1. FC Saarbrücken,0.12764003673094582,0.5240484429065746,0.23071619886208314,0.23922395317109638
Stuttgarter Kickers,0.24253333333333332,0.5553498122106733,0.2584262947672929,0.7051787247922653
Holstein Kiel,0.21843937575029998,0.2764514233830048,0.34625867127353566,0.8491063982310957
Chemnitzer FC,0.133656509695291,0.5415879017013233,0.40157039478341805,0.5808427545022908
BFC Dynamo,0.15999999999999998,0.7346938775510203,0.119710267240202,0.32054667731631664
SV Meppen,0.04419342053111379,0.44243767313019394,0.2990158939550253,0.367769100007343
FSV Zwickau,0.5340236686390532,0.5877777777777778,0.6946570132151402,0.5877179971141308
Werder Bremen II,0.08854166666666667,0.21874999999999997,0.3803859849845902,0.4395862425823445
SV Wehen 1926 Wiesbaden,NA,0.08163265306122443,0.9235730787450436,0.733202463662111
SV Babelsberg 03,0.46946040787265414,0.2933163265306124,0.33096187278086303,0.7294039622961956
Würzburger Kickers,0.3600000000000003,0.528925619834711,0.9600645022541417,0.5550561486973972
SSV Jahn 2000 Regensburg,0.1649519890260631,0.07570207570207571,0.6745702068360727,0.3338449728477818
SpVgg Unterhaching,0.14285714285714285,0.5585789871504159,0.2786000180484146,0.5143430211181845
VfB Lübeck,0.22314049586776866,0.33989243080152176,0.6628863525611013,0.6893084355390107
Bonner SC,0.027777777777777818,0.027777777777777818,0.2928707178337933,NA
FC Viktoria Köln,0,0.25,0.21265149067298558,0.5659901145438001
SV 1916 Sandhausen,0.07438016528925621,0.09382924767540156,0.8837840111487433,0.4151856989208345
Altona 93,0,0,0.3883290154845342,NA
FC Ingolstadt 04,0.12727272727272726,0.19791666666666666,0.7053835804723559,0.4821710435222006
FSV Frankfurt,0.04000000000000017,0.14666666666666664,0.3705094937870168,0.6642158337222479
KFC Uerdingen 05,0.10946196660482371,0.09979806568179407,0.2628623884822426,0.4379605557474613
Sportfreunde Lotte,0,3.469446951953614e-17,0.25691496790384993,0.4604258387878952
1. FC Schweinfurt 05,NA,0.4319526627218936,0.5742883388880798,0.9037517773219995
SG Sonnenhof Großaspach,0.11111111111111116,0,0.37299981178370933,0.7856713948757177
